,NIP,Cl_T
921,N201805507,1
922,N201805524,1
923,N201805554,2
924,N201805561,1
925,N201805569,1
926,N201805579,1
927,N201805589,1
928,N201805591,1
929,N201805613,1
930,N201805622,1
931,N201805626,1
932,N201805634,1
933,N201805647,2
934,N201805658,5
935,N201805693,1
936,N201805723,1
937,N201805724,1
938,N201805739,1
939,N201805745,1
940,N201805746,1
941,N201805747,1
942,N201805750,1
943,N201805760,1
944,N201805767,1
945,N201805773,1
946,N201805775,1
947,N201805782,1
948,N201805787,1
949,N201805789,1
950,N201805798,1
951,N201805831,1
952,N201805833,1
953,N201805836,1
954,N201805847,5
955,N201805880,1
956,N201805884,5
957,N201805900,1
958,N201805928,1
959,N201805931,1
960,N201805934,5
961,N201805939,5
962,N201805955,1
963,N201805962,2
964,N201805966,1
965,N201805972,1
966,N201805973,5
967,N201805992,1
968,N201806034,1
969,N201806047,5
970,N201806055,1
971,N201806061,5
972,N201806067,1
973,N201806070,1
974,N201806114,2
975,N201806116,1
976,N201806148,1
977,N201806159,5
978,N201806174,1
979,N201806183,1
980,N201806185,1
981,N201806186,1
982,N201806193,1
983,N201806197,1
984,N201806241,1
985,N201806254,1
986,N201806256,1
987,N201806271,2
988,N201806283,1
989,N201806285,2
990,N201806287,1
991,N201806295,1
992,N201806296,1
993,N201806297,1
994,N201806314,5
995,N201806331,1
996,N201806335,1
997,N201806338,2
998,N201806343,5
999,N201806345,5
1000,N201806349,1
1001,N201806356,1
1002,N201806365,5
1003,N201806370,5
1004,N201806397,1
1005,N201806398,1
1006,N201806400,1
1007,N201806407,1
1008,N201806408,5
1009,N201806418,2
1010,N201806419,1
1011,N201806425,1
1012,N201806433,1
1013,N201806437,1
1014,N201806441,1
1015,N201806442,1
1016,N201806459,1
1017,N201806465,5
1018,N201806474,1
1019,N201806478,1
1020,N201806479,1
1021,N201806486,5
1022,N201806488,1
1023,N201806491,1
1024,N201806496,1
1025,N201806500,1
1026,N201806507,1
1027,N201806512,1
1028,N201806524,1
1029,N201806528,2
1030,N201806541,1
1031,N201806548,5
1032,N201806561,1
1033,N201806566,5
1034,N201806567,1
1035,N201806569,1
1036,N201806577,1
1037,N201806578,1
1038,N201806582,5
1039,N201806586,1
1040,N201806589,1
1041,N201806590,1
1042,N201806591,1
1043,N201806595,1
1044,N201806597,1
1045,N201806601,1
1046,N201806606,5
1047,N201806627,1
1048,N201806628,1
