,NIP,Concat_Cl_P,X_abscisse
710,N201405973,3,59.11740216486262
711,N201802694,3,59.20066611157369
712,N201802317,3,59.28393005828477
713,N201807015,3,59.36719400499584
714,N200905749,3,59.450457951706916
715,N201204874,3,59.53372189841799
716,N200000242,3,59.61698584512906
717,N198601213,3,59.700249791840136
718,N201804453,3,59.78351373855121
719,N201105263,3,59.866777685262285
720,N201800152,3,59.950041631973356
721,N201806335,3,60.033305578684434
722,N201900043,3,60.116569525395505
723,N201800045,3,60.19983347210658
724,N201706031,3,60.283097418817654
725,N201802708,3,60.366361365528725
726,N201804723,3,60.4496253122398
727,N201106775,3,60.532889258950874
728,N201700901,3,60.61615320566195
729,N201705121,3,60.69941715237302
730,N201900046,3,60.7826810990841
731,N200702163,3,60.86594504579517
732,N201900029,3,60.94920899250625
733,N201806789,3,61.03247293921732
734,N201800411,3,61.11573688592839
735,N201706868,3,61.19900083263947
736,N201804085,3,61.28226477935054
737,N201502608,3,61.36552872606162
738,N201802856,3,61.44879267277269
739,N201304742,3,61.53205661948377
740,N201805836,3,61.61532056619484
741,N201703918,3,61.69858451290592
742,N201003966,3,61.78184845961699
743,N201504323,3,61.86511240632806
744,N201402369,3,61.94837635303914
745,N200701980,3,62.03164029975021
746,N201801047,3,62.114904246461286
747,N201705940,3,62.19816819317236
748,N201803145,3,62.281432139883435
749,N201805847,3,62.364696086594506
750,N200504430,3,62.447960033305584
751,N201705845,3,62.531223980016655
752,N200903897,3,62.614487926727726
753,N201802263,3,62.697751873438804
754,N200603450,3,62.781015820149875
755,N198303963,3,62.86427976686095
756,N201802324,3,62.947543713572024
757,N201700809,3,63.0308076602831
758,N201803618,3,63.11407160699417
759,N201706141,3,63.19733555370525
760,N201505285,3,63.28059950041632
761,N201702058,3,63.36386344712739
762,N201506798,3,63.44712739383847
763,N201802542,3,63.53039134054954
764,N201802854,3,63.61365528726062
765,N201804469,3,63.69691923397169
766,N201707185,3,63.78018318068277
767,N201803645,3,63.86344712739384
768,N201803347,3,63.94671107410491
769,N201702513,3,64.02997502081598
770,N201807023,3,64.11323896752707
771,N199703831,3,64.19650291423814
772,N201803976,3,64.27976686094921
773,N201804581,3,64.36303080766028
774,N201805107,3,64.44629475437137
775,N201805332,3,64.52955870108244
776,N201804738,3,64.61282264779351
777,N199006074,3,64.69608659450458
778,N201206329,3,64.77935054121565
779,N200805703,3,64.86261448792673
780,N201806566,3,64.9458784346378
781,N201806717,3,65.02914238134888
782,N201807077,3,65.11240632805995
783,N201806047,3,65.19567027477103
784,N201806343,3,65.2789342214821
785,N201807376,3,65.36219816819317
786,N201501838,3,65.44546211490425
787,N201300990,3,65.52872606161532
788,N201806767,3,65.6119900083264
789,N201806486,3,65.69525395503747
790,N201807009,3,65.77851790174854
791,N201807105,3,65.86178184845961
792,N201807092,3,65.9450457951707
793,N201900049,3,66.02830974188177
794,N201807424,3,66.11157368859284
795,N201807452,3,66.19483763530391
796,N201601749,4,66.27810158201498
797,N201503480,4,66.36136552872607
798,N201702643,4,66.44462947543714
799,N201800768,4,66.52789342214821
800,N201606277,4,66.61115736885928
801,N200201750,4,66.69442131557037
802,N201400337,4,66.77768526228144
803,N201000080,4,66.86094920899251
804,N200702440,4,66.94421315570358
805,N201203710,4,67.02747710241465
806,N201201591,4,67.11074104912574
807,N201803311,4,67.1940049958368
808,N201606455,4,67.27726894254788
809,N201504869,4,67.36053288925895
810,N201503005,4,67.44379683597003
811,N201803826,4,67.5270607826811
812,N200400050,4,67.61032472939218
813,N198401875,4,67.69358867610325
814,N201805782,4,67.77685262281432
815,N201603355,4,67.8601165695254
816,N201404118,4,67.94338051623647
817,N201105723,4,68.02664446294754
818,N201804973,4,68.10990840965862
819,N201900042,4,68.1931723563697
820,N200200738,4,68.27643630308077
821,N201700726,4,68.35970024979184
822,N201807224,4,68.44296419650291
823,N201806478,4,68.52622814321398
824,N201900041,4,68.60949208992507
825,N200600654,4,68.69275603663614
826,N198702410,4,68.77601998334721
827,N201807136,4,68.85928393005828
828,N201807163,4,68.94254787676937
829,N201802947,4,69.02581182348044
830,N201807070,4,69.10907577019151
831,N201305580,4,69.19233971690258
832,N201200611,5,69.27560366361365
833,N198403316,5,69.35886761032474
834,N201800626,5,69.44213155703581
835,N201806931,5,69.52539550374688
836,N201805151,6,69.60865945045795
837,N201805591,6,69.69192339716903
838,N198510292,6,69.7751873438801
839,N201806474,6,69.85845129059118
840,N201806586,6,69.94171523730225
841,N201804761,6,70.02497918401332
842,N201806679,6,70.1082431307244
843,N201503290,7,70.19150707743547
844,N200904592,7,70.27477102414655
845,N198700065,7,70.35803497085762
846,N201801284,7,70.4412989175687
847,N200004345,8,70.52456286427977
848,N198704237,8,70.60782681099084
849,N200601727,8,70.69109075770191
850,N199804183,8,70.77435470441299
851,N201702891,8,70.85761865112407
852,N201005482,8,70.94088259783514
853,N201302780,8,71.02414654454621
854,N200401716,9,71.10741049125728
855,N201005921,9,71.19067443796837
856,N201204042,9,71.27393838467944
857,N201305983,9,71.35720233139051
858,N201405146,9,71.44046627810158
859,N201705657,9,71.52373022481265
860,N201303568,9,71.60699417152374
861,N201506850,9,71.69025811823481
862,N201605653,9,71.77352206494588
863,N201605830,9,71.85678601165695
864,N201602884,9,71.94004995836804
865,N201701289,9,72.0233139050791
866,N201405805,9,72.10657785179018
867,N200400662,9,72.18984179850125
868,N201202930,9,72.27310574521232
869,N201403736,9,72.3563696919234
870,N201502685,9,72.43963363863448
871,N201104285,9,72.52289758534555
872,N201504281,9,72.60616153205662
873,N201605558,9,72.6894254787677
874,N199701601,9,72.77268942547877
875,N201101571,9,72.85595337218984
876,N201300982,9,72.93921731890092
877,N201400750,9,73.02248126561199
878,N201502656,9,73.10574521232307
879,N199602363,9,73.18900915903414
880,N201103278,9,73.27227310574521
881,N201404293,9,73.35553705245628
882,N200601293,9,73.43880099916737
883,N201306912,9,73.52206494587844
884,N198806015,9,73.60532889258951
885,N201802120,9,73.68859283930058
886,N201405759,9,73.77185678601165
887,N199801868,9,73.85512073272274
888,N201801854,9,73.93838467943381
